Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, BTN1, BTN2, BTN3, EN1",SW_SPST_FSMSM,5,SW_Push,C398053
"C1, C2, C4",0603,3,C,C30926
"C3, C5",0603,2,C,C19702
"C6, C7",0603,2,C,C106245
D1,0603,1,LED,C19171301
D2,0603,1,LED,C434425
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J10, J11, J8, J9",SW_DIP_SPSTx08_Slide_6.7x21.88mm_W8.61mm_P2.54mm_LowProfile,4,Conn_02x08_Counter_Clockwise,C3293158
"J3, J5",TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,2,Conn_01x03,
J4,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0_14P,C963213
"J6, J7",RJ45_Amphenol_RJHSE5380,2,RJ45,
"Q1, Q2",SOT-23,2,BSS138,C7420338
"R1, R12, R13, R2, R5",0603,5,R_Small,C98220
"R10, R7",0603,2,120,C22975
"R11, R6, R8, R9",0603,4,10K,C22975
"R3, R4",0603,2,R_Small,C2906975
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,C82899
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX3485,C9943
